Date,Close/Last,Volume,Open,High,Low
11/10/2023,$37.67,411308,$37.66,$38.04,$37.305
11/09/2023,$37.25,446511,$37.94,$38.42,$36.92
11/08/2023,$37.76,432399,$38.68,$39.66,$37.71
11/07/2023,$38.40,406055,$38.10,$38.73,$37.22
11/06/2023,$38.25,695215,$38.79,$39.04,$37.66
11/03/2023,$38.25,1233435,$38.49,$39.50,$36.85
11/02/2023,$37.00,2978357,$37.88,$38.22,$34.53
11/01/2023,$37.51,1337363,$35.77,$38.90,$35.00
10/31/2023,$35.50,65488,$34.53,$35.67,$34.38
10/30/2023,$34.40,46116,$34.16,$34.68,$34.04
10/27/2023,$34.43,40890,$34.83,$35.00,$34.09
10/26/2023,$34.76,23094,$35.00,$35.485,$34.58
10/25/2023,$35.00,25529,$35.27,$35.385,$34.9101
10/24/2023,$35.45,57394,$35.25,$35.91,$34.84
10/23/2023,$35.05,79490,$34.75,$35.834,$34.71
10/20/2023,$35.08,47589,$35.25,$35.50,$34.79
10/19/2023,$35.39,21211,$35.25,$35.99,$35.17
10/18/2023,$35.48,40092,$35.51,$36.0473,$35.28
10/17/2023,$35.81,54535,$35.05,$35.87,$35.05
10/16/2023,$35.52,55239,$34.75,$35.8486,$34.6963
10/13/2023,$34.83,108534,$35.51,$35.702,$34.35
10/12/2023,$35.72,79785,$35.88,$36.9528,$35.535
10/11/2023,$36.56,142471,$36.59,$37.17,$35.90
10/10/2023,$36.80,73512,$37.63,$37.63,$36.65
10/09/2023,$36.95,78955,$36.18,$37.225,$36.18
10/06/2023,$36.56,203807,$36.54,$37.10,$36.315
10/05/2023,$36.43,124818,$36.62,$37.28,$36.065
10/04/2023,$36.75,108028,$36.83,$37.38,$36.33
10/03/2023,$36.75,128318,$36.57,$37.88,$36.29
10/02/2023,$36.96,38120,$36.67,$37.4397,$36.60
09/29/2023,$37.00,74412,$37.02,$38.91,$36.76
09/28/2023,$37.06,173329,$38.07,$39.68,$36.98
09/27/2023,$38.27,102220,$38.95,$39.45,$38.05
09/26/2023,$39.00,116931,$39.52,$39.90,$38.80
09/25/2023,$40.00,93434,$38.96,$40.00,$38.96
09/22/2023,$39.95,54560,$39.61,$40.25,$39.51
09/21/2023,$39.59,70900,$39.60,$39.89,$39.1945
09/20/2023,$39.60,94581,$39.75,$40.51,$39.54
09/19/2023,$39.48,112619,$39.48,$40.00,$39.2901
09/18/2023,$39.47,105778,$39.29,$39.64,$39.29
09/15/2023,$39.25,56027,$39.35,$39.68,$39.25
09/14/2023,$39.52,1125388,$39.70,$39.77,$39.2884
09/13/2023,$39.45,63386,$39.45,$39.6288,$39.15
09/12/2023,$39.41,82545,$39.39,$39.79,$39.29
09/11/2023,$39.63,70838,$39.54,$39.79,$39.25
09/08/2023,$39.61,70797,$39.72,$40.00,$39.48
09/07/2023,$39.92,61649,$39.75,$40.00,$39.57
09/06/2023,$39.90,46143,$40.04,$40.156,$39.62
09/05/2023,$40.08,101528,$40.50,$40.62,$39.885
09/01/2023,$40.80,168924,$39.95,$41.42,$39.905
08/31/2023,$40.05,162110,$40.08,$40.25,$39.8201
08/30/2023,$39.95,123082,$39.41,$40.04,$39.41
08/29/2023,$39.60,113462,$39.50,$40.00,$39.27
08/28/2023,$39.29,27044,$39.22,$39.6999,$39.22
08/25/2023,$39.31,41877,$39.42,$39.6999,$39.25
08/24/2023,$39.44,27591,$39.50,$39.53,$39.28
08/23/2023,$39.46,118943,$39.61,$39.76,$39.11
08/22/2023,$39.60,141150,$39.74,$39.85,$39.28
08/21/2023,$39.69,59869,$39.43,$40.08,$39.24
08/18/2023,$39.73,118809,$39.13,$39.965,$38.955
08/17/2023,$38.85,138801,$38.95,$39.53,$38.5176
08/16/2023,$39.70,86018,$38.98,$40.00,$38.895
08/15/2023,$38.96,141491,$39.32,$39.51,$37.87
08/14/2023,$39.35,127337,$39.15,$39.53,$38.9773
08/11/2023,$39.31,107882,$38.45,$39.52,$38.2601
08/10/2023,$38.58,112443,$38.55,$39.49,$38.33
08/09/2023,$38.75,175387,$39.13,$39.13,$38.40
08/08/2023,$39.00,325272,$40.16,$40.54,$38.70
08/07/2023,$40.53,199850,$41.80,$41.88,$40.1448
08/04/2023,$42.06,414900,$41.43,$42.32,$40.73
08/03/2023,$41.20,493901,$37.54,$41.41,$37.54
08/02/2023,$37.69,969907,$38.07,$38.40,$37.57
08/01/2023,$38.80,296581,$38.62,$38.83,$38.00
07/31/2023,$38.95,295005,$38.35,$39.30,$38.35
07/28/2023,$38.53,183284,$38.49,$39.24,$38.03
07/27/2023,$38.50,192714,$38.50,$39.48,$38.48
07/26/2023,$38.40,210098,$37.13,$38.44,$36.89
07/25/2023,$36.88,205574,$35.95,$36.88,$35.73
07/24/2023,$35.93,339964,$35.73,$36.09,$35.65
07/21/2023,$35.86,812115,$36.87,$37.17,$35.55
07/20/2023,$36.67,237670,$37.33,$37.50,$36.19
07/19/2023,$37.20,256697,$37.28,$37.63,$37.11
07/18/2023,$37.40,309974,$37.34,$37.695,$37.09
07/17/2023,$37.40,372343,$37.25,$37.69,$37.17
07/14/2023,$37.50,533110,$37.71,$37.73,$37.30
07/13/2023,$37.75,639198,$37.58,$38.08,$37.17
07/12/2023,$37.85,188148,$38.40,$38.48,$37.83
07/11/2023,$38.15,203318,$38.92,$39.105,$37.92
07/10/2023,$38.95,152595,$39.24,$39.5235,$38.8127
07/07/2023,$39.24,374613,$38.24,$39.9239,$38.00
07/06/2023,$39.65,187138,$39.50,$39.95,$39.50
07/05/2023,$39.81,167565,$40.00,$40.21,$39.5501
07/03/2023,$40.01,74783,$39.77,$40.14,$39.69
06/30/2023,$39.97,155957,$40.00,$40.26,$39.75
06/29/2023,$40.00,172760,$39.77,$40.225,$39.69
06/28/2023,$39.88,171668,$40.24,$40.4787,$39.7508
06/27/2023,$40.52,153524,$40.26,$40.54,$39.99
06/26/2023,$40.40,129600,$39.84,$40.75,$39.84
06/23/2023,$39.99,374302,$40.49,$40.83,$39.99
06/22/2023,$40.95,274918,$41.73,$41.73,$40.28
06/21/2023,$41.46,192798,$41.41,$42.07,$40.94
06/20/2023,$41.25,197697,$41.31,$41.409,$40.95
06/16/2023,$41.51,276287,$42.06,$42.295,$41.19
06/15/2023,$42.32,250342,$43.03,$43.09,$41.66
06/14/2023,$42.94,113028,$43.50,$43.58,$42.39
06/13/2023,$43.42,571623,$43.22,$43.52,$42.50
06/12/2023,$43.03,362815,$42.71,$43.34,$42.4896
06/09/2023,$42.66,168148,$42.18,$42.74,$41.824
06/08/2023,$42.36,203209,$42.71,$42.84,$42.08
06/07/2023,$42.61,269341,$42.29,$43.10,$42.06
06/06/2023,$42.00,339333,$42.91,$43.00,$41.70
06/05/2023,$43.51,155793,$45.01,$45.3899,$43.47
06/02/2023,$45.09,192062,$44.82,$45.095,$44.26
06/01/2023,$44.68,111304,$44.70,$44.8208,$44.1945
05/31/2023,$44.62,158957,$44.31,$45.11,$43.75
05/30/2023,$44.17,185168,$44.24,$44.49,$43.42
05/26/2023,$44.41,117119,$44.02,$44.49,$44.00
05/25/2023,$44.05,60385,$45.38,$45.38,$43.37
05/24/2023,$45.00,148866,$44.64,$45.06,$44.64
05/23/2023,$45.00,668778,$44.93,$45.12,$44.383
05/22/2023,$44.81,125082,$44.75,$45.135,$44.5801
05/19/2023,$44.75,97553,$44.86,$45.185,$44.2265
05/18/2023,$44.56,255804,$43.19,$45.34,$43.19
05/17/2023,$43.58,119982,$42.42,$43.58,$42.1652
05/16/2023,$42.30,236324,$43.47,$43.71,$41.53
05/15/2023,$43.42,185738,$43.06,$43.47,$42.8647
05/12/2023,$43.09,141140,$43.27,$43.49,$42.6946
05/11/2023,$43.29,177141,$42.00,$43.34,$41.90
05/10/2023,$42.69,178578,$42.00,$42.71,$41.17
05/09/2023,$41.95,595751,$41.44,$41.95,$41.02
05/08/2023,$41.30,200823,$41.16,$41.69,$40.84
05/05/2023,$40.79,248090,$40.72,$41.17,$40.26
05/04/2023,$40.29,285139,$41.50,$41.50,$39.25
05/03/2023,$40.88,262180,$41.80,$42.0001,$40.16
05/02/2023,$41.64,207510,$43.09,$43.09,$41.43
05/01/2023,$43.09,266877,$43.77,$44.01,$42.91
04/28/2023,$43.72,191760,$42.94,$44.12,$42.8432
04/27/2023,$43.23,154212,$41.33,$43.44,$41.33
04/26/2023,$41.62,137122,$41.03,$41.69,$40.78
04/25/2023,$41.09,191009,$41.13,$41.42,$40.7971
04/24/2023,$41.37,127653,$40.98,$41.41,$40.65
04/21/2023,$41.28,111219,$41.51,$41.9221,$40.85
04/20/2023,$41.76,147260,$42.16,$42.16,$41.29
04/19/2023,$41.75,210021,$41.38,$41.88,$41.25
